"GlobalID"	"hafasID"	"Langname"	"Kurzname"	"Mast"	"Gleis/Steig"	"Geopos(Lat)"	"Geopos(Long)"	"Tarifzone"	"Barrierefreiheit"	"Linien"
"de:08222:2418"	"2418"	"MA Hauptfriedhof"	"WOFR"	"241801"	"A"	49.49097	8.4911369	"94"	"Keine"	"107-7,107-E,2-2,2-E,4-E,502-2,507-7,7-7,7-7A,7-E"
"de:08222:2418"	"2418"	"MA Hauptfriedhof"	"WOFR"	"241802"	"B"	49.4906839	8.4912889	"94"	"Keine"	"107-7,107-E,2-2,2-E,4-E,502-2,507-7,7-7,7-7A,7-E"
"de:08222:2418"	"2418"	"MA Hauptfriedhof"	"WOFR"	"241804"	"E"	49.4905611	8.49111	"94"	"Keine"	"107-7,107-E,2-2,2-E,4-E,502-2,507-7,7-7,7-7A,7-E"
"de:08222:2418"	"2418"	"MA Hauptfriedhof"	"WOFR"	"241811"	"C"	49.4910981	8.49128	"94"	"Keine"	"107-7,107-E,2-2,2-E,4-E,502-2,507-7,7-7,7-7A,7-E"
"de:08222:2418"	"2418"	"MA Hauptfriedhof"	"WOFR"	"241812"	"D"	49.4908411	8.4908039	"94"	"Keine"	"107-7,107-E,2-2,2-E,4-E,502-2,507-7,7-7,7-7A,7-E"
"de:08222:2419"	"2419"	"Hauptgüterbahnhof"	"MIHG"	"241912"	"A"	49.5007539	8.446975	"94"	"Keine"	"62-62,62-E"
"de:08222:2420"	"2420"	"Konrad-Duden-Schule"	"REKD"	"242011"	"B"	49.4404869	8.52326	"104"	"Rampe"	"45-45,45-E,501-E"
"de:08222:2420"	"2420"	"Konrad-Duden-Schule"	"REKD"	"242012"	"A"	49.4405339	8.5230089	"104"	"Rampe"	"45-45,45-E,501-E"
"de:08222:2421"	"2421"	"Herzogenriedstraße"	"NSHE"	"242101"	"A"	49.5087689	8.4707269	"94"	"Ebenerdig"	"1-1,1-E,285-E,3-3,3-E,501-1,503-1,503-3,52-E,60-60,60-60E,60-E"
"de:08222:2421"	"2421"	"Herzogenriedstraße"	"NSHE"	"242102"	"B"	49.5083789	8.4706731	"94"	"Ebenerdig"	"1-1,1-E,285-E,3-3,3-E,501-1,503-1,503-3,52-E,60-60,60-60E,60-E"
"de:08222:2421"	"2421"	"Herzogenriedstraße"	"NSHE"	"242111"	"C"	49.50846	8.4715531	"94"	"Rampe"	"1-1,1-E,285-E,3-3,3-E,501-1,503-1,503-3,52-E,60-60,60-60E,60-E"
"de:08222:2421"	"2421"	"Herzogenriedstraße"	"NSHE"	"242112"	"D"	49.508425	8.4714719	"94"	"Rampe"	"1-1,1-E,285-E,3-3,3-E,501-1,503-1,503-3,52-E,60-60,60-60E,60-E"
"de:08222:2421"	"2421"	"Herzogenriedstraße"	"NSHE"	"242135"	"V1"	49.5088219	8.4706281	"94"	"Keine"	"1-1,1-E,285-E,3-3,3-E,501-1,503-1,503-3,52-E,60-60,60-60E,60-E"
"de:08222:2421"	"2421"	"Herzogenriedstraße"	"NSHE"	"242136"	"V2"	49.5080461	8.470565	"94"	"Keine"	"1-1,1-E,285-E,3-3,3-E,501-1,503-1,503-3,52-E,60-60,60-60E,60-E"
"de:08222:2422"	"2422"	"Hochuferstraße"	"NSHO"	"242201"	"A"	49.5027381	8.4877231	"94"	"Ebenerdig"	"4-4,4-4A,4-E,504-4,60-60E"
"de:08222:2422"	"2422"	"Hochuferstraße"	"NSHO"	"242202"	"B"	49.5032511	8.4875789	"94"	"Ebenerdig"	"4-4,4-4A,4-E,504-4,60-60E"
"de:08222:2422"	"2422"	"Hochuferstraße"	"NSHO"	"242211"	"C"	49.5027381	8.4877231	"94"	"Keine"	"4-4,4-4A,4-E,504-4,60-60E"
"de:08222:2422"	"2422"	"Hochuferstraße"	"NSHO"	"242212"	"D"	49.5039389	8.4874981	"94"	"Keine"	"4-4,4-4A,4-E,504-4,60-60E"
"de:08222:2423"	"2423"	"Hombuschstraße"	"FIHO"	"242311"	"B"	49.5163281	8.4608181	"94"	"Keine"	"53-53,53-E,58-58"
"de:08222:2423"	"2423"	"Hombuschstraße"	"FIHO"	"242312"	"A"	49.5159839	8.4604769	"94"	"Keine"	"53-53,53-E,58-58"
"de:08222:2424"	"2424"	"Ida-Scipio-Heim"	"NSIS"	"242411"	"B"	49.4992261	8.48015	"94"	"Rampe"	"61-61,61-E"
"de:08222:2424"	"2424"	"Ida-Scipio-Heim"	"NSIS"	"242412"	"A"	49.4990561	8.4814439	"94"	"Rampe"	"61-61,61-E"
"de:08222:2425"	"2425"	"MARCHIVUM"	"NSMA"	"242511"	"A"	49.4994531	8.4613481	"94"	"Rampe"	"53-53,53-E"
"de:08222:2425"	"2425"	"MARCHIVUM"	"NSMA"	"242512"	"B"	49.4995061	8.4615189	"94"	"Rampe"	"53-53,53-E"
"de:08222:2425"	"2425"	"MARCHIVUM"	"NSMA"	"242513"	"C"	49.499815	8.4615639	"94"	"Rampe"	"53-53,53-E"
"de:08222:2426"	"2426"	"Konrad-Adenauer-Br."	"MIKA"	"242601"	"A"	49.4826711	8.4587161	"94"	"Keine"	"285-E,290-E,291-E,292-E,4-4,4-4A,4-E,6-E,7-7,7-7A,7-E"
"de:08222:2426"	"2426"	"Konrad-Adenauer-Br."	"MIKA"	"242602"	"B"	49.4823911	8.4585731	"94"	"Keine"	"285-E,290-E,291-E,292-E,4-4,4-4A,4-E,6-E,7-7,7-7A,7-E"
"de:08222:2427"	"2427"	"Kurpfalzbrücke"	"MIKB"	"242701"	"A"	49.4937119	8.4693431	"94"	"Ebenerdig"	"1-1,102-2,102-E,107-E,2-2,2-E,3-3,4-E,5-5,50-E,501-1,502-2,502-E,503-1,503-3,504-4,505-5,507-7,51-E,53-53,53-E,54-E,55-E,57-E,58-E,59-E,6-6,6-E,60-60,60-E,61-61,61-E,62-62,62-E,63-E,64-E,66-E,7-7"
"de:08222:2427"	"2427"	"Kurpfalzbrücke"	"MIKB"	"242702"	"B"	49.493525	8.470125	"94"	"Ebenerdig"	"1-1,102-2,102-E,107-E,2-2,2-E,3-3,4-E,5-5,50-E,501-1,502-2,502-E,503-1,503-3,504-4,505-5,507-7,51-E,53-53,53-E,54-E,55-E,57-E,58-E,59-E,6-6,6-E,60-60,60-E,61-61,61-E,62-62,62-E,63-E,64-E,66-E,7-7"
"de:08222:2427"	"2427"	"Kurpfalzbrücke"	"MIKB"	"242711"	"E"	49.4929011	8.4706731	"94"	"Rampe"	"1-1,102-2,102-E,107-E,2-2,2-E,3-3,4-E,5-5,50-E,501-1,502-2,502-E,503-1,503-3,504-4,505-5,507-7,51-E,53-53,53-E,54-E,55-E,57-E,58-E,59-E,6-6,6-E,60-60,60-E,61-61,61-E,62-62,62-E,63-E,64-E,66-E,7-7"
"de:08222:2429"	"2429"	"Luisenp./Technoseum (BUGA 23)"	"OFLT"	"242901"	"A"	49.4789711	8.4957361	"94"	"Ebenerdig"	"106-6,106-E,109-9,251-BL,251-E,285-E,290-%,290-E,291-&,292-E,450-E,450-P+R,506-6,506-6A,509-9,6-6,6-6A,6-E,62-62,62-62E,62-E,9-9,9-E"
"de:08222:2429"	"2429"	"Luisenp./Technoseum (BUGA 23)"	"OFLT"	"242902"	"B"	49.4785969	8.4965169	"94"	"Ebenerdig"	"106-6,106-E,109-9,251-BL,251-E,285-E,290-%,290-E,291-&,292-E,450-E,450-P+R,506-6,506-6A,509-9,6-6,6-6A,6-E,62-62,62-62E,62-E,9-9,9-E"
"de:08222:2429"	"2429"	"Luisenp./Technoseum (BUGA 23)"	"OFLT"	"242911"	"C"	49.4788661	8.4963019	"94"	"Rampe"	"106-6,106-E,109-9,251-BL,251-E,285-E,290-%,290-E,291-&,292-E,450-E,450-P+R,506-6,506-6A,509-9,6-6,6-6A,6-E,62-62,62-62E,62-E,9-9,9-E"
"de:08222:2429"	"2429"	"Luisenp./Technoseum (BUGA 23)"	"OFLT"	"242912"	"D"	49.4786789	8.4959961	"94"	"Rampe"	"106-6,106-E,109-9,251-BL,251-E,285-E,290-%,290-E,291-&,292-E,450-E,450-P+R,506-6,506-6A,509-9,6-6,6-6A,6-E,62-62,62-62E,62-E,9-9,9-E"
"de:08222:2429"	"2429"	"Luisenp./Technoseum (BUGA 23)"	"OFLT"	"242941"	"V1"	49.4792739	8.4951789	"94"	"Keine"	"106-6,106-E,109-9,251-BL,251-E,285-E,290-%,290-E,291-&,292-E,450-E,450-P+R,506-6,506-6A,509-9,6-6,6-6A,6-E,62-62,62-62E,62-E,9-9,9-E"
"de:08222:2429"	"2429"	"Luisenp./Technoseum (BUGA 23)"	"OFLT"	"242991"	""	49.4785161	8.4976489	"94"	""	"106-6,106-E,109-9,251-BL,251-E,285-E,290-%,290-E,291-&,292-E,450-E,450-P+R,506-6,506-6A,509-9,6-6,6-6A,6-E,62-62,62-62E,62-E,9-9,9-E"
"de:08222:2430"	"2430"	"Landgüterhalle"	"MILA"	"243012"	"A"	49.4962031	8.4502181	"94"	"Keine"	"62-62,62-E"
"de:08222:2431"	"2431"	"Landwehrstraße"	"NSLW"	"243121"	"A"	49.5054681	8.4896989	"94"	"Ebenerdig"	"4-4,4-4A,4-E,504-4,60-60E"
"de:08222:2431"	"2431"	"Landwehrstraße"	"NSLW"	"243122"	"B"	49.5057589	8.4903189	"94"	"Ebenerdig"	"4-4,4-4A,4-E,504-4,60-60E"
"de:08222:2432"	"2432"	"Lange Rötterstraße"	"NSLR"	"243201"	"A"	49.4957419	8.4863839	"94"	"Ebenerdig"	"105-5,14-5A,14-E,15-15,15-E,285-E,4-4,4-4A,4-E,5-5,5-E,504-4,505-5"
"de:08222:2432"	"2432"	"Lange Rötterstraße"	"NSLR"	"243202"	"B"	49.4961681	8.4869061	"94"	"Ebenerdig"	"105-5,14-5A,14-E,15-15,15-E,285-E,4-4,4-4A,4-E,5-5,5-E,504-4,505-5"
"de:08222:2432"	"2432"	"Lange Rötterstraße"	"NSLR"	"243211"	"C"	49.49597	8.4863489	"94"	"Keine"	"105-5,14-5A,14-E,15-15,15-E,285-E,4-4,4-4A,4-E,5-5,5-E,504-4,505-5"
"de:08222:2433"	"2433"	"Lessingstraße"	"OFLE"	"243301"	"2"	49.4892011	8.485585	"94"	"Keine"	"5-5,5-E,505-5"
"de:08222:2433"	"2433"	"Lessingstraße"	"OFLE"	"243302"	"1"	49.4891961	8.4853689	"94"	"Keine"	"5-5,5-E,505-5"
"de:08222:2433"	"2433"	"Lessingstraße"	"OFLE"	"243331"	"A"	49.4892189	8.4852619	"94"	"Keine"	"5-5,5-E,505-5"
"de:08222:2433"	"2433"	"Lessingstraße"	"OFLE"	"243332"	"B"	49.489155	8.4852081	"94"	"Keine"	"5-5,5-E,505-5"
"de:08222:2434"	"2434"	"Gutenbergstraße"	"WOGU"	"243411"	"A"	49.4928719	8.5040631	"94"	"Keine"	"60-60,60-E"
